Address;Postcode
100 The Fairway, Leicester;LE2 6LP
48 Neston Road, Leicester;LE2 6RD
Flat 39, 55 Watkin Road, Leicester;LE2 7AZ
133 Saffron Lane, Leicester;LE2 7NA
Flat 12, 25 Pavilion Close, Leicester;LE2 7HS
Flat 21, 30 Pavilion Close, Leicester;LE2 7JP
10 Marylebone Place, Leicester;LE2 7LS
Flat 15, 20 The Newarke, Leicester;LE2 7BY
44 Ullswater Street, Leicester;LE2 7DT
Apartment 36, 61 Watkin Road, Leicester;LE2 7HZ
11 Lothair Road, Leicester;LE2 7QE
Flat 14, 37 Watkin Road, Leicester;LE2 7AH
9 Ullswater Street, Leicester;LE2 7DU
16 Burnmoor Street, Leicester;LE2 7JJ
12 Oliver Street, Leicester;LE2 7PD
4 Farndale Close, Leicester;LE2 7HQ
82 Watkin Road, Leicester;LE2 7HW
84 Watkin Road, Leicester;LE2 7HW
126 Jarrom Street, Leicester;LE2 7DE
140 Grasmere Street, Leicester;LE2 7FS
Flat 30, 37 Watkin Road, Leicester;LE2 7AH
12 Woodford Road, Leicester;LE2 7AQ
Flat 26, 37 Watkin Road, Leicester;LE2 7AH
202 Watkin Road, Leicester;LE2 7HW
19 Burnmoor Street, Leicester;LE2 7JL
Unit 2 Raw Dykes Road, Leicester;LE2 7JZ
Maisonette 1, 65 Watkin Road, Leicester;LE2 7AX
Flat 16, 55 Watkin Road, Leicester;LE2 7AZ
Apartment 31, 19 Watkin Road, Leicester;LE2 7AG
120 Jarrom Street, Leicester;LE2 7DE
72 Boundary Road, Leicester;LE2 7PE
Gavin House, 57 Welford Road, Leicester;LE2 7AE
51 Ullswater Street, Leicester;LE2 7DU
137 Jarrom Street, Leicester;LE2 7DX
44 Macaulay Street, Leicester;LE2 7NJ
57 Ullswater Street, Leicester;LE2 7DU
27 Dartford Road, Leicester;LE2 7PQ
205 Aylestone Road, Leicester;LE2 7QJ
22 Montrose Road, Leicester;LE2 8SL
30 Grace Road, Leicester;LE2 8AD
49 Glenhills Boulevard, Leicester;LE2 8UF
21 Althorp Close, Leicester;LE2 8PZ
17 Disraeli Street, Leicester;LE2 8LX
30 Glenhills Boulevard, Leicester;LE2 8UA
28 Richmond Avenue, Leicester;LE2 8AX
38 Montrose Road, Leicester;LE2 8SL
86 Wigston Lane, Aylestone;LE2 8TL
27 Althorp Close, Leicester;LE2 8PZ
27 Leeson Street, Leicester;LE2 8RB
38 Hereford Road, Leicester;LE2 8HG
10 Paigle Road, Leicester;LE2 8HP
93 Belvoir Drive, Leicester;LE2 8PB
42 Narrow Lane, Leicester;LE2 8NA
62B Lorraine Road, Leicester;LE2 8ER
Flat D, 3 Percy Road, Leicester;LE2 8FP
21 Percy Road, Leicester;LE2 8FP
56 Earl Russell Street, Leicester;LE2 8LH
28 Lutterworth Road, Aylestone;LE2 8PF
5 Victors Close, Leicester;LE2 8PT
2 The Firs, Aylestone;LE2 8PU
